,perc_clustered,perc_correct,n_clusters
1,0.02029664324746292,0.8846153846153846,1240
2,0.21701795472287275,0.8453237410071942,987
3,0.41608118657298987,0.8630393996247655,517
4,0.594847775175644,0.8398950131233596,221
5,0.9242779078844653,0.8369932432432432,102
6,0.7369242779078845,0.8411016949152542,51
7,0.5191256830601093,0.8300751879699249,27
8,0.9742388758782201,0.8357371794871795,18
9,0.7494145199063232,0.8354166666666667,11
10,0.7704918032786885,0.8389057750759878,12
11,0.7704918032786885,0.8389057750759878,9
12,0.8735362997658079,0.8418230563002681,11
13,0.7540983606557377,0.8343685300207039,8
14,0.5378610460577674,0.8243831640058055,8
15,0.8735362997658079,0.8418230563002681,11
16,0.7540983606557377,0.8343685300207039,11
17,0.8001561280249805,0.8214634146341463,11
18,0.7540983606557377,0.8343685300207039,8
19,0.8001561280249805,0.8214634146341463,11
20,0.5378610460577674,0.8243831640058055,8
